model,perm_i,is_real,RMSE,MAE,CCC
Hybrid-XGB (ECFP2048 r=2 + PhysChem),185,False,1.5342685728206016,1.1990586682275364,-0.04750808343769755
Hybrid-XGB (ECFP2048 r=2 + PhysChem),186,False,1.5198418480586426,1.2435275732425148,-0.06538489833023145
Hybrid-XGB (ECFP2048 r=2 + PhysChem),187,False,1.4945696796565522,1.202546965848561,-0.006487093305132134
Hybrid-XGB (ECFP2048 r=2 + PhysChem),188,False,1.5221904996202364,1.2561049684284742,0.06396067676118138
Hybrid-XGB (ECFP2048 r=2 + PhysChem),189,False,1.4713725953955346,1.1549297826017912,-0.077788929240757
Hybrid-XGB (ECFP2048 r=2 + PhysChem),190,False,1.4400867153064592,1.1750833545832449,0.05677158659394506
Hybrid-XGB (ECFP2048 r=2 + PhysChem),191,False,1.4983849779321359,1.130001467293265,-0.049005148467932635
Hybrid-XGB (ECFP2048 r=2 + PhysChem),192,False,1.2681142006098047,0.9993503782271291,0.2105529388023079
Hybrid-XGB (ECFP2048 r=2 + PhysChem),193,False,1.4235646397290513,1.1807332669167334,0.16374288271780216
Hybrid-XGB (ECFP2048 r=2 + PhysChem),194,False,1.693784184902664,1.3878635787444327,-0.19433887618564252
Hybrid-XGB (ECFP2048 r=2 + PhysChem),195,False,1.4131055538801758,1.1443147410624892,0.04224922154203786
Hybrid-XGB (ECFP2048 r=2 + PhysChem),196,False,1.5489858970465904,1.2793561110802927,-0.1409580640539208
Hybrid-XGB (ECFP2048 r=2 + PhysChem),197,False,1.294136123528896,1.0567694902471398,0.2626875416253393
Hybrid-XGB (ECFP2048 r=2 + PhysChem),198,False,1.3278077191871038,1.07754569882799,0.14663840713746792
Hybrid-XGB (ECFP2048 r=2 + PhysChem),199,False,1.519310273490559,1.2597629045173622,-0.07662163619444959
Hybrid-XGB (ECFP2048 r=2 + PhysChem),200,False,1.3803233100498846,1.086857745440478,0.09252473276071357
