Compound_ID,Canonical_SMILES,InChIKey,logP_median,logP_uncertainty,n_measurements,logP_min,logP_max,Tier,TPSA,MW,Coumarin_Type,Cluster_ID,Murcko_scaffold_ID,is_OOD,external_role,Murcko_scaffold_SMILES_v2,Murcko_scaffold_ID_v2
CMR_GOLD_014,CC(CC(C1=C(C2=CC=CC=C2OC1=O)O)C3=CC=C([N+]([O-])=O)C=C3)=O,VABCILAOYCMVPS-UHFFFAOYSA-N,3.24,,1,3.24,3.24,STRICT,110.65,353.33,simple_coumarin,,,False,NONE,O=c1oc2ccccc2cc1Cc1ccccc1,74ae3eb7f63316c2
CMR_GOLD_016,O=C1C(C(C(OCC)=O)C2=C(O)C3=CC=CC=C3OC2=O)=C(O)C4=CC=CC=C4O1,JCLHQFUTFHUXNN-UHFFFAOYSA-N,4.93,,1,4.93,4.93,STRICT,127.18,408.36,dimeric_coumarin,,,False,NONE,O=c1oc2ccccc2cc1Cc1cc2ccccc2oc1=O,861f00c7e5641354
CMR_GOLD_017,COCC(C1=C(C2=CC=CC=C2OC1=O)O)C3=C(C4=CC=CC=C4OC3=O)O,BUCJFFQZPGTGPX-UHFFFAOYSA-N,4.55,,1,4.55,4.55,STRICT,110.11,380.35,dimeric_coumarin,,,False,NONE,O=c1oc2ccccc2cc1Cc1cc2ccccc2oc1=O,861f00c7e5641354
CMR_GOLD_026,CCC(C1=C(C2=C(C=CC=C2)OC1=O)O)C3=CC=CC=C3,DQDAYGNAKTZFIW-UHFFFAOYSA-N,3.04,,1,3.04,3.04,STRICT,50.44,280.32,drug_like_coumarin,,,False,NONE,O=c1oc2ccccc2cc1Cc1ccccc1,74ae3eb7f63316c2
CMR_GOLD_027,O=C1OC2=C(C=CC(OCC(O)CN3C=NC=N3)=C2)C(C)=C1,GDCFJOBMRMVPAK-UHFFFAOYSA-N,0.45,,1,0.45,0.45,STRICT,90.38,301.3,conjugated_coumarin,,,False,NONE,O=c1ccc2ccc(OCCCn3cncn3)cc2o1,355ab8d2546b4fdd
CMR_GOLD_028,O=C1OC2=C(C=CC(OCC(O)CN3N=NC4=C3C=CC=C4)=C2)C(C)=C1,CVOCQUHWTKXCRA-UHFFFAOYSA-N,0.6,,1,0.6,0.6,STRICT,90.38,351.36,conjugated_coumarin,,,False,NONE,O=c1ccc2ccc(OCCCn3nnc4ccccc43)cc2o1,9f9601bccff5795a
CMR_GOLD_029,O=C1OC2=C(C=CC(OCC(O)CN3C=NC4=C3C=CC=C4)=C2)C(C)=C1,XGYWFNBUMDLLLG-UHFFFAOYSA-N,0.55,,1,0.55,0.55,STRICT,77.49,350.37,conjugated_coumarin,,,False,NONE,O=c1ccc2ccc(OCCCn3cnc4ccccc43)cc2o1,10f541fb97fd8547
CMR_GOLD_030,O=C1OC2=C(C=CC(OCC(O)CN3C=NC4=C3C=C(C)C(C)=C4)=C2)C(C)=C1,XFFZMKKJMHWRFR-UHFFFAOYSA-N,0.61,,1,0.61,0.61,STRICT,77.49,378.43,conjugated_coumarin,,,False,NONE,O=c1ccc2ccc(OCCCn3cnc4ccccc43)cc2o1,10f541fb97fd8547
CMR_GOLD_031,O=C1OC2=C(C=CC(OCC(O)CSC3=NC4=CC=CC=C4N3)=C2)C(C)=C1,TUMGIQHUGGTWGH-UHFFFAOYSA-N,0.49,,1,0.49,0.49,STRICT,88.35,382.43,conjugated_coumarin,,,False,NONE,O=c1ccc2ccc(OCCCSc3nc4ccccc4[nH]3)cc2o1,4501e2ab0b2271fd
CMR_GOLD_034,OC(COC1=CC(OCC(CN2C=NC3=C2C=CC=C3)O)=CC4=C1C(C)=CC(O4)=O)CN5C=NC6=C5C=CC=C6,ZCXOPWGCLNDBDA-UHFFFAOYSA-N,0.49,,1,0.49,0.49,STRICT,124.77,540.58,conjugated_coumarin,,,False,NONE,O=c1ccc2c(OCCCn3cnc4ccccc43)cc(OCCCn3cnc4ccccc43)cc2o1,d8accd4f629da211
CMR_GOLD_035,OC(COC1=CC(OCC(CN2C=NC3=C2C=C(C)C(C)=C3)O)=CC4=C1C(C)=CC(O4)=O)CN5C=NC6=C5C=C(C)C(C)=C6,ORPFRVYAHFVAAJ-UHFFFAOYSA-N,0.61,,1,0.61,0.61,STRICT,124.77,596.68,conjugated_coumarin,,,False,NONE,O=c1ccc2c(OCCCn3cnc4ccccc43)cc(OCCCn3cnc4ccccc43)cc2o1,d8accd4f629da211
CMR_GOLD_036,OC(COC1=CC(OCC(CSC2=NC3=CC=CC=C3N2)O)=CC4=C1C(C)=CC(O4)=O)CSC5=NC6=CC=CC=C6N5,YJROCVLOFLALOQ-UHFFFAOYSA-N,0.58,,1,0.58,0.58,STRICT,146.49,604.7,conjugated_coumarin,,,False,NONE,O=c1ccc2c(OCCCSc3nc4ccccc4[nH]3)cc(OCCCSc3nc4ccccc4[nH]3)cc2o1,f58be28c88cc9d5c
CMR_GOLD_037,O=C1OC2=CC=CC=C2C(/C(NC3=CC=CC=C3)=N\O)=C1Cl,GBBBLMLRZLRBSX-UHFFFAOYSA-N,2.58,,1,2.58,2.58,STRICT,74.83,314.72,amidoxime,,,False,NONE,N=C(Nc1ccccc1)c1cc(=O)oc2ccccc12,4f7b108c14e434a9
CMR_GOLD_038,O=C1OC2=CC=CC=C2C(/C(NC3=CC=C(C)C=C3)=N\O)=C1Cl,IWIHBWBMWQZHFC-UHFFFAOYSA-N,2.89,,1,2.89,2.89,STRICT,74.83,328.75,amidoxime,,,False,NONE,N=C(Nc1ccccc1)c1cc(=O)oc2ccccc12,4f7b108c14e434a9
CMR_GOLD_039,O=C1OC2=CC=CC=C2C(/C(NC3CCCCC3)=N\O)=C1Cl,PGSCPIWYKOVMIS-UHFFFAOYSA-N,2.78,,1,2.78,2.78,STRICT,74.83,320.77,amidoxime,,,False,NONE,N=C(NC1CCCCC1)c1cc(=O)oc2ccccc12,153b2740a32a832f
CMR_GOLD_040,O=C1OC2=CC=CC=C2C(/C(CCO)=N\O)=C1Cl,VUEARWNFBJBNSK-ZSOIEALJSA-N,0.22,,1,0.22,0.22,STRICT,83.03,267.67,amidoxime (hydroxyimino-alkyl),,,False,NONE,O=c1ccc2ccccc2o1,c51a245eee35e68e
CMR_GOLD_041,O=C1OC2=CC=CC=C2C(/C(N)=N\OC(C)=O)=C1,QEAUZNBSPIFAMI-UHFFFAOYSA-N,1.0,,1,1.0,1.0,STRICT,94.89,246.22,amidoxime (O-acetyl),,,False,NONE,O=c1ccc2ccccc2o1,c51a245eee35e68e
