feature,mean_abs_shap,mean_shap
ECFP_0456,0.0,0.0
ECFP_0457,0.0,0.0
ECFP_0458,0.0,0.0
ECFP_0459,0.0,0.0
ECFP_0460,0.0,0.0
ECFP_0461,0.0,0.0
ECFP_0462,0.0,0.0
ECFP_0463,0.0,0.0
ECFP_0465,0.0,0.0
ECFP_0466,0.0,0.0
ECFP_0467,0.0,0.0
ECFP_0468,0.0,0.0
ECFP_0469,0.0,0.0
ECFP_0470,0.0,0.0
ECFP_0471,0.0,0.0
ECFP_0472,0.0,0.0
ECFP_0473,0.0,0.0
ECFP_0474,0.0,0.0
ECFP_0475,0.0,0.0
ECFP_0476,0.0,0.0
ECFP_0477,0.0,0.0
ECFP_0478,0.0,0.0
ECFP_0479,0.0,0.0
ECFP_0480,0.0,0.0
ECFP_0481,0.0,0.0
ECFP_0482,0.0,0.0
ECFP_0483,0.0,0.0
ECFP_0484,0.0,0.0
ECFP_0485,0.0,0.0
ECFP_0487,0.0,0.0
ECFP_0489,0.0,0.0
ECFP_0490,0.0,0.0
ECFP_0491,0.0,0.0
ECFP_0492,0.0,0.0
ECFP_0493,0.0,0.0
ECFP_0494,0.0,0.0
ECFP_0495,0.0,0.0
ECFP_0496,0.0,0.0
ECFP_0497,0.0,0.0
ECFP_0498,0.0,0.0
ECFP_0499,0.0,0.0
ECFP_0500,0.0,0.0
ECFP_0501,0.0,0.0
ECFP_0502,0.0,0.0
ECFP_0503,0.0,0.0
ECFP_0504,0.0,0.0
ECFP_0505,0.0,0.0
ECFP_0506,0.0,0.0
ECFP_0507,0.0,0.0
ECFP_0508,0.0,0.0
ECFP_0509,0.0,0.0
ECFP_0510,0.0,0.0
ECFP_0511,0.0,0.0
ECFP_0512,0.0,0.0
ECFP_0513,0.0,0.0
ECFP_0514,0.0,0.0
ECFP_0515,0.0,0.0
ECFP_0516,0.0,0.0
ECFP_0517,0.0,0.0
ECFP_0518,0.0,0.0
ECFP_0519,0.0,0.0
ECFP_0520,0.0,0.0
ECFP_0521,0.0,0.0
ECFP_0522,0.0,0.0
ECFP_0523,0.0,0.0
ECFP_0524,0.0,0.0
ECFP_0525,0.0,0.0
ECFP_0526,0.0,0.0
ECFP_0527,0.0,0.0
ECFP_0528,0.0,0.0
ECFP_0529,0.0,0.0
ECFP_0530,0.0,0.0
ECFP_0531,0.0,0.0
ECFP_0532,0.0,0.0
ECFP_0533,0.0,0.0
ECFP_0534,0.0,0.0
ECFP_0535,0.0,0.0
ECFP_0536,0.0,0.0
ECFP_0537,0.0,0.0
ECFP_0538,0.0,0.0
ECFP_0539,0.0,0.0
ECFP_0540,0.0,0.0
ECFP_0541,0.0,0.0
ECFP_0542,0.0,0.0
ECFP_0543,0.0,0.0
ECFP_0544,0.0,0.0
ECFP_0545,0.0,0.0
ECFP_0546,0.0,0.0
ECFP_0547,0.0,0.0
ECFP_0548,0.0,0.0
ECFP_0549,0.0,0.0
ECFP_0550,0.0,0.0
ECFP_0551,0.0,0.0
ECFP_0552,0.0,0.0
ECFP_0553,0.0,0.0
ECFP_0554,0.0,0.0
ECFP_0555,0.0,0.0
ECFP_0556,0.0,0.0
ECFP_0557,0.0,0.0
ECFP_0558,0.0,0.0
ECFP_0559,0.0,0.0
ECFP_0560,0.0,0.0
ECFP_0562,0.0,0.0
ECFP_0563,0.0,0.0
ECFP_0564,0.0,0.0
ECFP_0565,0.0,0.0
ECFP_0566,0.0,0.0
ECFP_0567,0.0,0.0
ECFP_0568,0.0,0.0
ECFP_0569,0.0,0.0
ECFP_0570,0.0,0.0
ECFP_0571,0.0,0.0
ECFP_0572,0.0,0.0
ECFP_0573,0.0,0.0
ECFP_0574,0.0,0.0
ECFP_0575,0.0,0.0
ECFP_0577,0.0,0.0
ECFP_0578,0.0,0.0
ECFP_0579,0.0,0.0
ECFP_0580,0.0,0.0
ECFP_0581,0.0,0.0
ECFP_0582,0.0,0.0
ECFP_0583,0.0,0.0
ECFP_0584,0.0,0.0
ECFP_0585,0.0,0.0
ECFP_0587,0.0,0.0
ECFP_0588,0.0,0.0
ECFP_0589,0.0,0.0
ECFP_0590,0.0,0.0
ECFP_0591,0.0,0.0
ECFP_0592,0.0,0.0
ECFP_0593,0.0,0.0
ECFP_0594,0.0,0.0
ECFP_0595,0.0,0.0
ECFP_0596,0.0,0.0
ECFP_0598,0.0,0.0
ECFP_0599,0.0,0.0
ECFP_0600,0.0,0.0
ECFP_0601,0.0,0.0
ECFP_0602,0.0,0.0
ECFP_0603,0.0,0.0
ECFP_0604,0.0,0.0
ECFP_0605,0.0,0.0
ECFP_0606,0.0,0.0
ECFP_0607,0.0,0.0
ECFP_0608,0.0,0.0
ECFP_0609,0.0,0.0
ECFP_0610,0.0,0.0
ECFP_0611,0.0,0.0
ECFP_0612,0.0,0.0
ECFP_0613,0.0,0.0
ECFP_0614,0.0,0.0
ECFP_0615,0.0,0.0
ECFP_0616,0.0,0.0
ECFP_0617,0.0,0.0
